Frame,Bounce,Person1_X,Person1_Y,Person2_X,Person2_Y,Ball_Frame_X,Ball_Frame_Y
463,0,1210.5,310.5,651.0,940.5,1261.5,337.5
464,1,1221.0,312.0,660.0,939.0,1270.5,346.5
465,0,1228.5,315.0,669.0,937.5,1279.5,340.5
466,0,1236.0,313.5,679.5,939.0,1285.5,325.5
467,0,1243.5,312.0,685.5,936.0,1291.5,316.5
468,0,1248.0,310.5,691.5,931.5,1297.5,301.5
469,0,1254.0,313.5,694.5,933.0,1306.5,298.5
470,0,1261.5,312.0,700.5,936.0,1312.5,289.5
471,0,1267.5,313.5,711.0,939.0,1318.5,283.5
472,0,1275.0,313.5,715.5,939.0,1324.5,280.5
473,0,1282.5,315.0,714.0,939.0,1330.5,277.5
474,0,1285.5,313.5,717.0,939.0,1336.5,274.5
475,0,1291.5,313.5,721.5,939.0,1342.5,271.5
476,0,1296.0,315.0,724.5,937.5,1345.5,271.5
477,0,1300.5,313.5,736.5,939.0,1354.5,274.5
478,0,1302.0,313.5,748.5,937.5,1360.5,274.5
479,0,1309.5,313.5,756.0,937.5,1363.5,277.5
480,0,1314.0,312.0,766.5,937.5,1372.5,280.5
481,0,1318.5,312.0,777.0,933.0,1378.5,286.5
482,0,1324.5,310.5,786.0,942.0,1375.5,292.5
483,0,1330.5,310.5,792.0,940.5,1384.5,286.5
484,0,1335.0,310.5,801.0,940.5,1387.5,277.5
485,0,1336.5,312.0,808.5,945.0,1390.5,271.5
486,0,1336.5,312.0,814.5,945.0,1393.5,265.5
487,0,1339.5,310.5,820.5,934.5,1396.5,262.5
